venue,played,won,win_rate,team
Arun Jaitley Stadium,2,1.0,0.5,Royal Challengers Bangalore
"Arun Jaitley Stadium, Delhi",1,0.0,0.0,Royal Challengers Bangalore
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,1.0,1.0,Royal Challengers Bangalore
Brabourne Stadium,1,1.0,1.0,Royal Challengers Bangalore
"Brabourne Stadium, Mumbai",3,0.0,0.0,Royal Challengers Bangalore
Dr DY Patil Sports Academy,2,1.0,0.5,Royal Challengers Bangalore
"Dr DY Patil Sports Academy, Mumbai",4,2.0,0.5,Royal Challengers Bangalore
Dubai International Cricket Stadium,12,8.0,0.6666666666666666,Royal Challengers Bangalore
Eden Gardens,10,4.0,0.4,Royal Challengers Bangalore
"Eden Gardens, Kolkata",2,1.0,0.5,Royal Challengers Bangalore
Feroz Shah Kotla,7,5.0,0.7142857142857143,Royal Challengers Bangalore
Himachal Pradesh Cricket Association Stadium,1,0.0,0.0,Royal Challengers Bangalore
Holkar Cricket Stadium,2,1.0,0.5,Royal Challengers Bangalore
JSCA International Stadium Complex,3,1.0,0.3333333333333333,Royal Challengers Bangalore
Kingsmead,4,3.0,0.75,Royal Challengers Bangalore
M Chinnaswamy Stadium,61,29.0,0.47540983606557374,Royal Challengers Bangalore
"M Chinnaswamy Stadium, Bengaluru",7,3.0,0.42857142857142855,Royal Challengers Bangalore
M.Chinnaswamy Stadium,15,8.0,0.5333333333333333,Royal Challengers Bangalore
MA Chidambaram Stadium,1,0.0,0.0,Royal Challengers Bangalore
"MA Chidambaram Stadium, Chepauk",8,2.0,0.25,Royal Challengers Bangalore
"MA Chidambaram Stadium, Chepauk, Chennai",3,3.0,1.0,Royal Challengers Bangalore
Maharashtra Cricket Association Stadium,4,2.0,0.5,Royal Challengers Bangalore
"Maharashtra Cricket Association Stadium, Pune",3,2.0,0.6666666666666666,Royal Challengers Bangalore
"Narendra Modi Stadium, Ahmedabad",3,1.0,0.3333333333333333,Royal Challengers Bangalore
Nehru Stadium,1,1.0,1.0,Royal Challengers Bangalore
New Wanderers Stadium,4,3.0,0.75,Royal Challengers Bangalore
Newlands,2,1.0,0.5,Royal Challengers Bangalore
Punjab Cricket Association IS Bindra Stadium,1,1.0,1.0,Royal Challengers Bangalore
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,1.0,1.0,Royal Challengers Bangalore
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,1.0,1.0,Royal Challengers Bangalore
"Punjab Cricket Association Stadium, Mohali",5,2.0,0.4,Royal Challengers Bangalore
Rajiv Gandhi International Stadium,2,0.0,0.0,Royal Challengers Bangalore
"Rajiv Gandhi International Stadium, Uppal",8,2.0,0.25,Royal Challengers Bangalore
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.0,1.0,Royal Challengers Bangalore
"Sardar Patel Stadium, Motera",1,1.0,1.0,Royal Challengers Bangalore
Saurashtra Cricket Association Stadium,2,1.0,0.5,Royal Challengers Bangalore
Sawai Mansingh Stadium,7,3.0,0.42857142857142855,Royal Challengers Bangalore
"Sawai Mansingh Stadium, Jaipur",1,1.0,1.0,Royal Challengers Bangalore
Shaheed Veer Narayan Singh International Stadium,1,1.0,1.0,Royal Challengers Bangalore
Sharjah Cricket Stadium,8,3.0,0.375,Royal Challengers Bangalore
Sheikh Zayed Stadium,6,2.0,0.3333333333333333,Royal Challengers Bangalore
St George's Park,3,0.0,0.0,Royal Challengers Bangalore
Subrata Roy Sahara Stadium,2,2.0,1.0,Royal Challengers Bangalore
SuperSport Park,3,2.0,0.6666666666666666,Royal Challengers Bangalore
"Vidarbha Cricket Association Stadium, Jamtha",1,0.0,0.0,Royal Challengers Bangalore
Wankhede Stadium,10,3.0,0.3,Royal Challengers Bangalore
"Wankhede Stadium, Mumbai",7,5.0,0.7142857142857143,Royal Challengers Bangalore
"Zayed Cricket Stadium, Abu Dhabi",2,0.0,0.0,Royal Challengers Bangalore
Arun Jaitley Stadium,2,1.0,0.5,Punjab Kings
"Arun Jaitley Stadium, Delhi",1,1.0,1.0,Punjab Kings
Barabati Stadium,3,1.0,0.3333333333333333,Punjab Kings
"Barsapara Cricket Stadium, Guwahati",2,2.0,1.0,Punjab Kings
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,1.0,0.5,Punjab Kings
Brabourne Stadium,1,0.0,0.0,Punjab Kings
"Brabourne Stadium, Mumbai",4,2.0,0.5,Punjab Kings
De Beers Diamond Oval,1,1.0,1.0,Punjab Kings
Dr DY Patil Sports Academy,1,0.0,0.0,Punjab Kings
"Dr DY Patil Sports Academy, Mumbai",4,2.0,0.5,Punjab Kings
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,1.0,0.5,Punjab Kings
Dubai International Cricket Stadium,11,7.0,0.6363636363636364,Punjab Kings
Eden Gardens,11,3.0,0.2727272727272727,Punjab Kings
"Eden Gardens, Kolkata",2,1.0,0.5,Punjab Kings
Feroz Shah Kotla,9,4.0,0.4444444444444444,Punjab Kings
Himachal Pradesh Cricket Association Stadium,9,5.0,0.5555555555555556,Punjab Kings
"Himachal Pradesh Cricket Association Stadium, Dharamsala",4,0.0,0.0,Punjab Kings
Holkar Cricket Stadium,8,4.0,0.5,Punjab Kings
Kingsmead,6,2.0,0.3333333333333333,Punjab Kings
M Chinnaswamy Stadium,10,5.0,0.5,Punjab Kings
"M Chinnaswamy Stadium, Bengaluru",1,0.0,0.0,Punjab Kings
M.Chinnaswamy Stadium,2,0.0,0.0,Punjab Kings
MA Chidambaram Stadium,1,0.0,0.0,Punjab Kings
"MA Chidambaram Stadium, Chepauk",5,2.0,0.4,Punjab Kings
"MA Chidambaram Stadium, Chepauk, Chennai",4,3.0,0.75,Punjab Kings
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,1.0,0.2,Punjab Kings
Maharashtra Cricket Association Stadium,5,0.0,0.0,Punjab Kings
"Maharashtra Cricket Association Stadium, Pune",2,1.0,0.5,Punjab Kings
"Narendra Modi Stadium, Ahmedabad",4,2.0,0.5,Punjab Kings
New Wanderers Stadium,1,1.0,1.0,Punjab Kings
Newlands,2,1.0,0.5,Punjab Kings
OUTsurance Oval,1,1.0,1.0,Punjab Kings
Punjab Cricket Association IS Bindra Stadium,10,8.0,0.8,Punjab Kings
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,4.0,0.36363636363636365,Punjab Kings
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,1.0,0.2,Punjab Kings
"Punjab Cricket Association Stadium, Mohali",35,18.0,0.5142857142857142,Punjab Kings
Rajiv Gandhi International Stadium,2,0.0,0.0,Punjab Kings
"Rajiv Gandhi International Stadium, Uppal",8,4.0,0.5,Punjab Kings
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,0.0,0.0,Punjab Kings
"Sardar Patel Stadium, Motera",1,1.0,1.0,Punjab Kings
Saurashtra Cricket Association Stadium,2,2.0,1.0,Punjab Kings
Sawai Mansingh Stadium,6,1.0,0.16666666666666666,Punjab Kings
Sharjah Cricket Stadium,7,5.0,0.7142857142857143,Punjab Kings
Sheikh Zayed Stadium,6,2.0,0.3333333333333333,Punjab Kings
St George's Park,1,1.0,1.0,Punjab Kings
Subrata Roy Sahara Stadium,2,1.0,0.5,Punjab Kings
SuperSport Park,2,0.0,0.0,Punjab Kings
Wankhede Stadium,11,5.0,0.45454545454545453,Punjab Kings
"Wankhede Stadium, Mumbai",8,4.0,0.5,Punjab Kings
"Zayed Cricket Stadium, Abu Dhabi",1,0.0,0.0,Punjab Kings
Arun Jaitley Stadium,14,8.0,0.5714285714285714,Delhi Capitals
"Arun Jaitley Stadium, Delhi",12,6.0,0.5,Delhi Capitals
Barabati Stadium,1,0.0,0.0,Delhi Capitals
"Barsapara Cricket Stadium, Guwahati",1,0.0,0.0,Delhi Capitals
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,1.0,0.5,Delhi Capitals
Brabourne Stadium,2,0.0,0.0,Delhi Capitals
"Brabourne Stadium, Mumbai",4,4.0,1.0,Delhi Capitals
Buffalo Park,1,1.0,1.0,Delhi Capitals
Dr DY Patil Sports Academy,2,1.0,0.5,Delhi Capitals
"Dr DY Patil Sports Academy, Mumbai",4,2.0,0.5,Delhi Capitals
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,5,2.0,0.4,Delhi Capitals
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,1.0,0.5,Delhi Capitals
Dubai International Cricket Stadium,15,7.0,0.4666666666666667,Delhi Capitals
Eden Gardens,9,2.0,0.2222222222222222,Delhi Capitals
"Eden Gardens, Kolkata",1,0.0,0.0,Delhi Capitals
Feroz Shah Kotla,56,23.0,0.4107142857142857,Delhi Capitals
Green Park,1,1.0,1.0,Delhi Capitals
Himachal Pradesh Cricket Association Stadium,3,1.0,0.3333333333333333,Delhi Capitals
"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,1.0,1.0,Delhi Capitals
Kingsmead,3,3.0,1.0,Delhi Capitals
M Chinnaswamy Stadium,7,3.0,0.42857142857142855,Delhi Capitals
"M Chinnaswamy Stadium, Bengaluru",2,0.0,0.0,Delhi Capitals
M.Chinnaswamy Stadium,3,1.0,0.3333333333333333,Delhi Capitals
MA Chidambaram Stadium,1,0.0,0.0,Delhi Capitals
"MA Chidambaram Stadium, Chepauk",7,2.0,0.2857142857142857,Delhi Capitals
"MA Chidambaram Stadium, Chepauk, Chennai",3,2.0,0.6666666666666666,Delhi Capitals
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,0.0,0.0,Delhi Capitals
Maharashtra Cricket Association Stadium,3,2.0,0.6666666666666666,Delhi Capitals
"Maharashtra Cricket Association Stadium, Pune",1,0.0,0.0,Delhi Capitals
"Narendra Modi Stadium, Ahmedabad",5,4.0,0.8,Delhi Capitals
Nehru Stadium,1,1.0,1.0,Delhi Capitals
New Wanderers Stadium,3,1.0,0.3333333333333333,Delhi Capitals
Newlands,1,1.0,1.0,Delhi Capitals
OUTsurance Oval,2,1.0,0.5,Delhi Capitals
Punjab Cricket Association IS Bindra Stadium,2,0.0,0.0,Delhi Capitals
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,0.0,0.0,Delhi Capitals
"Punjab Cricket Association Stadium, Mohali",3,1.0,0.3333333333333333,Delhi Capitals
Rajiv Gandhi International Stadium,2,1.0,0.5,Delhi Capitals
"Rajiv Gandhi International Stadium, Uppal",6,4.0,0.6666666666666666,Delhi Capitals
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.0,1.0,Delhi Capitals
"Sardar Patel Stadium, Motera",2,1.0,0.5,Delhi Capitals
Saurashtra Cricket Association Stadium,1,1.0,1.0,Delhi Capitals
Sawai Mansingh Stadium,6,2.0,0.3333333333333333,Delhi Capitals
"Sawai Mansingh Stadium, Jaipur",1,0.0,0.0,Delhi Capitals
Shaheed Veer Narayan Singh International Stadium,6,4.0,0.6666666666666666,Delhi Capitals
Sharjah Cricket Stadium,8,5.0,0.625,Delhi Capitals
Sheikh Zayed Stadium,6,2.0,0.3333333333333333,Delhi Capitals
St George's Park,1,1.0,1.0,Delhi Capitals
Subrata Roy Sahara Stadium,3,1.0,0.3333333333333333,Delhi Capitals
SuperSport Park,4,2.0,0.5,Delhi Capitals
Wankhede Stadium,9,3.0,0.3333333333333333,Delhi Capitals
"Wankhede Stadium, Mumbai",9,3.0,0.3333333333333333,Delhi Capitals
"Zayed Cricket Stadium, Abu Dhabi",1,1.0,1.0,Delhi Capitals
Arun Jaitley Stadium,2,1.0,0.5,Mumbai Indians
"Arun Jaitley Stadium, Delhi",4,3.0,0.75,Mumbai Indians
Barabati Stadium,1,0.0,0.0,Mumbai Indians
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,0.0,0.0,Mumbai Indians
Brabourne Stadium,7,5.0,0.7142857142857143,Mumbai Indians
"Brabourne Stadium, Mumbai",4,2.0,0.5,Mumbai Indians
Buffalo Park,2,1.0,0.5,Mumbai Indians
Dr DY Patil Sports Academy,7,5.0,0.7142857142857143,Mumbai Indians
"Dr DY Patil Sports Academy, Mumbai",4,1.0,0.25,Mumbai Indians
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4,2.0,0.5,Mumbai Indians
Dubai International Cricket Stadium,10,3.0,0.3,Mumbai Indians
Eden Gardens,13,10.0,0.7692307692307693,Mumbai Indians
"Eden Gardens, Kolkata",1,0.0,0.0,Mumbai Indians
Feroz Shah Kotla,9,3.0,0.3333333333333333,Mumbai Indians
Green Park,1,0.0,0.0,Mumbai Indians
Himachal Pradesh Cricket Association Stadium,1,0.0,0.0,Mumbai Indians
Holkar Cricket Stadium,2,2.0,1.0,Mumbai Indians
Kingsmead,3,0.0,0.0,Mumbai Indians
M Chinnaswamy Stadium,10,8.0,0.8,Mumbai Indians
"M Chinnaswamy Stadium, Bengaluru",1,0.0,0.0,Mumbai Indians
M.Chinnaswamy Stadium,2,1.0,0.5,Mumbai Indians
MA Chidambaram Stadium,2,2.0,1.0,Mumbai Indians
"MA Chidambaram Stadium, Chepauk",6,3.0,0.5,Mumbai Indians
"MA Chidambaram Stadium, Chepauk, Chennai",7,3.0,0.42857142857142855,Mumbai Indians
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,1.0,1.0,Mumbai Indians
Maharashtra Cricket Association Stadium,3,2.0,0.6666666666666666,Mumbai Indians
"Maharashtra Cricket Association Stadium, Pune",3,0.0,0.0,Mumbai Indians
"Narendra Modi Stadium, Ahmedabad",3,0.0,0.0,Mumbai Indians
New Wanderers Stadium,1,0.0,0.0,Mumbai Indians
Newlands,1,1.0,1.0,Mumbai Indians
Punjab Cricket Association IS Bindra Stadium,1,0.0,0.0,Mumbai Indians
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,1.0,1.0,Mumbai Indians
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,1.0,1.0,Mumbai Indians
"Punjab Cricket Association Stadium, Mohali",6,3.0,0.5,Mumbai Indians
Rajiv Gandhi International Stadium,3,2.0,0.6666666666666666,Mumbai Indians
"Rajiv Gandhi International Stadium, Uppal",8,5.0,0.625,Mumbai Indians
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,1.0,0.5,Mumbai Indians
"Sardar Patel Stadium, Motera",2,1.0,0.5,Mumbai Indians
Saurashtra Cricket Association Stadium,1,1.0,1.0,Mumbai Indians
Sawai Mansingh Stadium,7,2.0,0.2857142857142857,Mumbai Indians
"Sawai Mansingh Stadium, Jaipur",1,0.0,0.0,Mumbai Indians
Sharjah Cricket Stadium,6,3.0,0.5,Mumbai Indians
Sheikh Zayed Stadium,9,6.0,0.6666666666666666,Mumbai Indians
St George's Park,3,2.0,0.6666666666666666,Mumbai Indians
Subrata Roy Sahara Stadium,2,2.0,1.0,Mumbai Indians
SuperSport Park,3,1.0,0.3333333333333333,Mumbai Indians
Wankhede Stadium,67,42.0,0.6268656716417911,Mumbai Indians
"Wankhede Stadium, Mumbai",18,10.0,0.5555555555555556,Mumbai Indians
"Zayed Cricket Stadium, Abu Dhabi",3,2.0,0.6666666666666666,Mumbai Indians
Arun Jaitley Stadium,2,0.0,0.0,Kolkata Knight Riders
"Arun Jaitley Stadium, Delhi",1,0.0,0.0,Kolkata Knight Riders
Barabati Stadium,3,3.0,1.0,Kolkata Knight Riders
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,1.0,1.0,Kolkata Knight Riders
Brabourne Stadium,2,0.0,0.0,Kolkata Knight Riders
"Brabourne Stadium, Mumbai",3,0.0,0.0,Kolkata Knight Riders
Buffalo Park,1,0.0,0.0,Kolkata Knight Riders
Dr DY Patil Sports Academy,2,2.0,1.0,Kolkata Knight Riders
"Dr DY Patil Sports Academy, Mumbai",4,1.0,0.25,Kolkata Knight Riders
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0.0,0.0,Kolkata Knight Riders
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,1.0,1.0,Kolkata Knight Riders
Dubai International Cricket Stadium,7,3.0,0.42857142857142855,Kolkata Knight Riders
Eden Gardens,74,45.0,0.6081081081081081,Kolkata Knight Riders
"Eden Gardens, Kolkata",14,7.0,0.5,Kolkata Knight Riders
Feroz Shah Kotla,8,5.0,0.625,Kolkata Knight Riders
Green Park,1,0.0,0.0,Kolkata Knight Riders
Holkar Cricket Stadium,1,1.0,1.0,Kolkata Knight Riders
JSCA International Stadium Complex,3,1.0,0.3333333333333333,Kolkata Knight Riders
Kingsmead,4,2.0,0.5,Kolkata Knight Riders
M Chinnaswamy Stadium,11,6.0,0.5454545454545454,Kolkata Knight Riders
"M Chinnaswamy Stadium, Bengaluru",2,2.0,1.0,Kolkata Knight Riders
M.Chinnaswamy Stadium,2,2.0,1.0,Kolkata Knight Riders
MA Chidambaram Stadium,2,0.0,0.0,Kolkata Knight Riders
"MA Chidambaram Stadium, Chepauk",7,2.0,0.2857142857142857,Kolkata Knight Riders
"MA Chidambaram Stadium, Chepauk, Chennai",6,3.0,0.5,Kolkata Knight Riders
Maharashtra Cricket Association Stadium,3,3.0,1.0,Kolkata Knight Riders
"Maharashtra Cricket Association Stadium, Pune",3,2.0,0.6666666666666666,Kolkata Knight Riders
"Narendra Modi Stadium, Ahmedabad",4,3.0,0.75,Kolkata Knight Riders
Nehru Stadium,1,0.0,0.0,Kolkata Knight Riders
New Wanderers Stadium,2,0.0,0.0,Kolkata Knight Riders
Newlands,2,0.0,0.0,Kolkata Knight Riders
Punjab Cricket Association IS Bindra Stadium,1,1.0,1.0,Kolkata Knight Riders
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,1.0,0.5,Kolkata Knight Riders
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,0.0,0.0,Kolkata Knight Riders
"Punjab Cricket Association Stadium, Mohali",4,2.0,0.5,Kolkata Knight Riders
Rajiv Gandhi International Stadium,2,1.0,0.5,Kolkata Knight Riders
"Rajiv Gandhi International Stadium, Uppal",6,4.0,0.6666666666666666,Kolkata Knight Riders
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1.0,1.0,Kolkata Knight Riders
"Sardar Patel Stadium, Motera",2,0.0,0.0,Kolkata Knight Riders
